nqr_id,code,route,criteria_1,criteria_2,experience,training_qualification,source_url,verification_status,fetched_at,raw_text
1284,2020/HYC/HSSCI/3770,1,8th,Passed,1 year,None,https://www.nqr.gov.in/qualifications/1284,VERIFIED_NQR_HTML,2026-09-23T18:21:19.876744+00:00,8th | Passed | 1 year | None
1284,2020/HYC/HSSCI/3770,2,5th,Passed,4 years,None,https://www.nqr.gov.in/qualifications/1284,VERIFIED_NQR_HTML,2026-09-23T18:21:19.876744+00:00,5th | Passed | 4 years | None
1284,2020/HYC/HSSCI/3770,3,9th,Passed,No Experience,None,https://www.nqr.gov.in/qualifications/1284,VERIFIED_NQR_HTML,2026-09-23T18:21:19.877745+00:00,9th | Passed | No Experience | None
1284,2020/HYC/HSSCI/3770,4,8th,Passed,No Experience,NTC,https://www.nqr.gov.in/qualifications/1284,VERIFIED_NQR_HTML,2026-09-23T18:21:19.877745+00:00,8th | Passed | No Experience | NTC
1285,2020/HYC/HSSCI/3769,1,10th,Passed,No Experience,2 year NTC,https://www.nqr.gov.in/qualifications/1285,VERIFIED_NQR_HTML,2026-09-23T18:21:21.026961+00:00,10th | Passed | No Experience | 2 year NTC
1285,2020/HYC/HSSCI/3769,2,3 year Diploma after 10th,with courses related to Engg./Science,No Experience,None,https://www.nqr.gov.in/qualifications/1285,VERIFIED_NQR_HTML,2026-09-23T18:21:21.026961+00:00,3 year Diploma after 10th | with courses related to Engg./Science | No Experience | None
1285,2020/HYC/HSSCI/3769,3,12th,with courses related to Engg./Science,No Experience,None,https://www.nqr.gov.in/qualifications/1285,VERIFIED_NQR_HTML,2026-09-23T18:21:21.026961+00:00,12th | with courses related to Engg./Science | No Experience | None
1285,2020/HYC/HSSCI/3769,4,11th,with courses related to Engg./Science,1 year,None,https://www.nqr.gov.in/qualifications/1285,VERIFIED_NQR_HTML,2026-09-23T18:21:21.026961+00:00,11th | with courses related to Engg./Science | 1 year | None
1285,2020/HYC/HSSCI/3769,5,10th,Passed,2 years,None,https://www.nqr.gov.in/qualifications/1285,VERIFIED_NQR_HTML,2026-09-23T18:21:21.026961+00:00,10th | Passed | 2 years | None
1285,2020/HYC/HSSCI/3769,6,Previous NSQF qualification,of Level 3.5,1.5 Years,None,https://www.nqr.gov.in/qualifications/1285,VERIFIED_NQR_HTML,2026-09-23T18:21:21.026961+00:00,Previous NSQF qualification | of Level 3.5 | 1.5 Years | None
1285,2020/HYC/HSSCI/3769,7,Previous NSQF qualification,of Level 3,3 years,None,https://www.nqr.gov.in/qualifications/1285,VERIFIED_NQR_HTML,2026-09-23T18:21:21.026961+00:00,Previous NSQF qualification | of Level 3 | 3 years | None
1309,2020/HYC/HSSCI/3612,1,Ability to read and write,N.A.,1 year,None,https://www.nqr.gov.in/qualifications/1309,VERIFIED_NQR_HTML,2026-09-23T18:21:23.035910+00:00,Ability to read and write | N.A. | 1 year | None
1310,2020/HYC/HSSCI/3611,1,10th,Passed,No Experience,2 year NTC,https://www.nqr.gov.in/qualifications/1310,VERIFIED_NQR_HTML,2026-09-23T18:21:24.148477+00:00,10th | Passed | No Experience | 2 year NTC
1310,2020/HYC/HSSCI/3611,2,12th,Passed,No Experience,None,https://www.nqr.gov.in/qualifications/1310,VERIFIED_NQR_HTML,2026-09-23T18:21:24.148477+00:00,12th | Passed | No Experience | None
1310,2020/HYC/HSSCI/3611,3,10th,Passed,2 years,None,https://www.nqr.gov.in/qualifications/1310,VERIFIED_NQR_HTML,2026-09-23T18:21:24.148477+00:00,10th | Passed | 2 years | None
1310,2020/HYC/HSSCI/3611,4,2nd Year of 3 Year Diploma after 10th,Completed,No Experience,None,https://www.nqr.gov.in/qualifications/1310,VERIFIED_NQR_HTML,2026-09-23T18:21:24.148477+00:00,2nd Year of 3 Year Diploma after 10th | Completed | No Experience | None
1349,2020/OAFM/MEPSC/03792,1,12th,None,No Experience,None,https://www.nqr.gov.in/qualifications/1349,VERIFIED_NQR_HTML,2026-09-23T18:21:25.277883+00:00,12th | None | No Experience | None
1349,2020/OAFM/MEPSC/03792,2,Previous NSQF qualification,of Level 3,3 years,None,https://www.nqr.gov.in/qualifications/1349,VERIFIED_NQR_HTML,2026-09-23T18:21:25.277883+00:00,Previous NSQF qualification | of Level 3 | 3 years | None
1355,2020/ITES/ASAP/03802,1,Completed 3rd year of 3-year/ 4-years UG,In relevant field,No Experience,None,https://www.nqr.gov.in/qualifications/1355,VERIFIED_NQR_HTML,2026-09-23T18:21:26.605354+00:00,Completed 3rd year of 3-year/ 4-years UG | In relevant field | No Experience | None
1421,2020/CON/IESC/3881,1,10th,Passed,2 years,None,https://www.nqr.gov.in/qualifications/1421,VERIFIED_NQR_HTML,2026-09-23T18:21:27.834769+00:00,10th | Passed | 2 years | None
1421,2020/CON/IESC/3881,2,10th,Passed,No Experience,CITS,https://www.nqr.gov.in/qualifications/1421,VERIFIED_NQR_HTML,2026-09-23T18:21:27.835770+00:00,10th | Passed | No Experience | CITS
1421,2020/CON/IESC/3881,3,11th,Pursuing Continuous Schooling,No Experience,None,https://www.nqr.gov.in/qualifications/1421,VERIFIED_NQR_HTML,2026-09-23T18:21:27.835770+00:00,11th | Pursuing Continuous Schooling | No Experience | None
1421,2020/CON/IESC/3881,4,8th,Passed,4 years,None,https://www.nqr.gov.in/qualifications/1421,VERIFIED_NQR_HTML,2026-09-23T18:21:27.835770+00:00,8th | Passed | 4 years | None
1513,2020/HYC/HSSCI/03997,1,8th,Passed,No Experience,NTC/NAC,https://www.nqr.gov.in/qualifications/1513,VERIFIED_NQR_HTML,2026-09-23T18:21:29.066722+00:00,8th | Passed | No Experience | NTC/NAC
1513,2020/HYC/HSSCI/03997,2,12th,Passed,No Experience,None,https://www.nqr.gov.in/qualifications/1513,VERIFIED_NQR_HTML,2026-09-23T18:21:29.066722+00:00,12th | Passed | No Experience | None
1513,2020/HYC/HSSCI/03997,3,10th,Passed,2 years,None,https://www.nqr.gov.in/qualifications/1513,VERIFIED_NQR_HTML,2026-09-23T18:21:29.066722+00:00,10th | Passed | 2 years | None
1513,2020/HYC/HSSCI/03997,4,10th,Passed,No Experience,2 year NTC,https://www.nqr.gov.in/qualifications/1513,VERIFIED_NQR_HTML,2026-09-23T18:21:29.066722+00:00,10th | Passed | No Experience | 2 year NTC
1513,2020/HYC/HSSCI/03997,5,2nd Year of 3 Year Diploma after 10th,Completed,No Experience,None,https://www.nqr.gov.in/qualifications/1513,VERIFIED_NQR_HTML,2026-09-23T18:21:29.066722+00:00,2nd Year of 3 Year Diploma after 10th | Completed | No Experience | None
1584,2021/HYC/HSSCI/04095,1,9th,Passed,No Experience,None,https://www.nqr.gov.in/qualifications/1584,VERIFIED_NQR_HTML,2026-09-23T18:21:30.190150+00:00,9th | Passed | No Experience | None
