nqr_id,code,title,sector,nsqf_level,url
1284,2020/HYC/HSSCI/3770,Line Patrolling Man (Oil  Gas),Hydrocarbon,Level 3,https://www.nqr.gov.in/qualifications/1284
1285,2020/HYC/HSSCI/3769,Process Instrument Technician (Oil & Gas),Hydrocarbon,Level 4,https://www.nqr.gov.in/qualifications/1285
1309,2020/HYC/HSSCI/3612,Excavator-Pipeline,Hydrocarbon,Level 2,https://www.nqr.gov.in/qualifications/1309
1310,2020/HYC/HSSCI/3611,Fire Safety Technician (Oil & Gas),Hydrocarbon,Level 4,https://www.nqr.gov.in/qualifications/1310
1349,2020/OAFM/MEPSC/03792,Hindi Typist,Oﬃce Administration & Facility Management,Level 4,https://www.nqr.gov.in/qualifications/1349
1355,2020/ITES/ASAP/03802,Certificate Course in Coding Skills,IT-ITeS,Level 5,https://www.nqr.gov.in/qualifications/1355
1421,2020/CON/IESC/3881,Transit and Self-Loading Mixer Operator,Infrastructure,Level 4,https://www.nqr.gov.in/qualifications/1421
1513,2020/HYC/HSSCI/03997,SS (Stainless Steel) Tubing Technician,Hydrocarbon,Level 4,https://www.nqr.gov.in/qualifications/1513
1584,2021/HYC/HSSCI/04095,Gas Meter Reader,Hydrocarbon,Level 3,https://www.nqr.gov.in/qualifications/1584
1585,2021/HYC/HSSCI/04096,Pipeline Maintenance Technician (Mechanical),Hydrocarbon,Level 4,https://www.nqr.gov.in/qualifications/1585
1752,2020/ITES/ITSSC/04331,AI – Data Quality Analyst,IT-ITeS,Level 5,https://www.nqr.gov.in/qualifications/1752
1756,2021/AUT/ASDC/04333,Automotive Assembly Assistant,Automotive,Level 2,https://www.nqr.gov.in/qualifications/1756
1760,2021/AUT/ASDC/04346,Automotive Forging Technician,Automotive,Level 4,https://www.nqr.gov.in/qualifications/1760
1762,2021/AUT/ASDC/04340,Automotive Machining Master Technician,Automotive,Level 6,https://www.nqr.gov.in/qualifications/1762
1766,2021/AUT/ASDC/04351,Automotive Maintenance Lead Technician-Electrical,Automotive,Level 5,https://www.nqr.gov.in/qualifications/1766
1767,2021/AUT/ASDC/04352,Automotive Maintenance Lead Technician-Mechanical,Automotive,Level 5,https://www.nqr.gov.in/qualifications/1767
1768,2021/AUT/ASDC/04344,Automotive Body Painting Operator,Automotive,Level 3,https://www.nqr.gov.in/qualifications/1768
1772,2021/AUT/ASDC/04337,Automotive Welding Machine Master Technician,Automotive,Level 6,https://www.nqr.gov.in/qualifications/1772
1784,2021/AUT/ASDC/04347,Automotive Material Handling Assistant,Automotive,Level 2,https://www.nqr.gov.in/qualifications/1784
1785,2021/AUT/ASDC/04350,Automotive Production Equipment Design Engineer,Automotive,Level 6,https://www.nqr.gov.in/qualifications/1785
2032,2021/HYC/HSSCI/04663,Cathodic Protection Technician,Hydrocarbon,Level 4,https://www.nqr.gov.in/qualifications/2032
2034,2021/HYC/HSSCI/04664,Direct Marketing Agent - Piped Natural Gas (PNG),Hydrocarbon,Level 4,https://www.nqr.gov.in/qualifications/2034
2035,2021/HYC/HSSCI/04662,Project Supervisor - City Gas Distribution (CGD),Hydrocarbon,Level 5,https://www.nqr.gov.in/qualifications/2035
2036,2021/HYC/HSSCI/04665,Store Keeper (Petroleum Products),Hydrocarbon,Level 3,https://www.nqr.gov.in/qualifications/2036
2201,2021/PWD/SCPWD/04886,Solar PV Installer-Civil-PwD LD,Persons with Disability,Level 4,https://www.nqr.gov.in/qualifications/2201
2202,2021/PWD/SCPWD/04887,Solar PV Installer-Civil-PwD SHI,Persons with Disability,Level 4,https://www.nqr.gov.in/qualifications/2202
2203,2021/PWD/SCPWD/04885,Solar PV Installer-Electrical-PwD SHI,Persons with Disability,Level 4,https://www.nqr.gov.in/qualifications/2203
2204,2021/PWD/SCPWD/04884,Solar PV Installer-Electrical-PwD LD,Persons with Disability,Level 4,https://www.nqr.gov.in/qualifications/2204
2205,2021/PWD/SCPWD/04883,Solar PV Installer (Suryamitra)-PwD SHI,Persons with Disability,Level 4,https://www.nqr.gov.in/qualifications/2205
2251,2021/EHW/ESSC/04794,Field Technician Computing And Peripherals,Electronics & HW,Level 4,https://www.nqr.gov.in/qualifications/2251
2253,2021/EHW/ESSC/04792,Wiring Harness Assembly Operator,Electronics & HW,Level 3,https://www.nqr.gov.in/qualifications/2253
2255,2021/EHW/ESSC/04790,Motor & Controller Repairing Technician,Electronics & HW,Level 4,https://www.nqr.gov.in/qualifications/2255
2256,2021/EHW/ESSC/04789,Battery System Repair Technician,Electronics & HW,Level 4,https://www.nqr.gov.in/qualifications/2256
2257,2021/EHW/ESSC/04788,Motor and Controller Design Engineer,Electronics & HW,Level 5,https://www.nqr.gov.in/qualifications/2257
2258,2021/EHW/ESSC/04787,Battery System Design Engineer,Electronics & HW,Level 5,https://www.nqr.gov.in/qualifications/2258
2259,2021/EHW/ESSC/04786,Electronic Hardware Assembly Operator,Electronics & HW,Level 4,https://www.nqr.gov.in/qualifications/2259
2260,2021/EHW/ESSC/04785,Battery System Assembly Operator,Electronics & HW,Level 4,https://www.nqr.gov.in/qualifications/2260
2268,2022/EHW/ESSC/05109,TV Repair Technician,Electronics & HW,Level 3,https://www.nqr.gov.in/qualifications/2268
2269,2022/EHW/ESSC/05110,Field Technician – Air Conditioner,Electronics & HW,Level 4,https://www.nqr.gov.in/qualifications/2269
2270,2022/EHW/ESSC/05111,Field Technician – Other Home Appliances,Electronics & HW,Level 4,https://www.nqr.gov.in/qualifications/2270
2272,2022/EHW/ESSC/05127,Service Technician – Home Appliances,Electronics & HW,Level 4,https://www.nqr.gov.in/qualifications/2272
2277,2022/EHW/ESSC/05117,IT Coordinator in School,Electronics & HW,Level 4,https://www.nqr.gov.in/qualifications/2277
2282,2022/EHW/ESSC/05123,Field Technicians – UPS and Inverter,Electronics & HW,Level 4,https://www.nqr.gov.in/qualifications/2282
2283,2022/EHW/ESSC/05124,PCB Assembly Operator,Electronics & HW,Level 4,https://www.nqr.gov.in/qualifications/2283
2284,2022/EHW/ESSC/05107,Welding Operator Electronics,Electronics & HW,Level 3,https://www.nqr.gov.in/qualifications/2284
2286,2022/EHW/ESSC/05125,DTH Set-top Box Installer and Service Technician,Electronics & HW,Level 4,https://www.nqr.gov.in/qualifications/2286
2287,2022/EHW/ESSC/05126,LED Light Repair Technician,Electronics & HW,Level 4,https://www.nqr.gov.in/qualifications/2287
2289,2022/EHW/ESSC/05113,Smartphone Assembly Technician,Electronics & HW,Level 4,https://www.nqr.gov.in/qualifications/2289
2290,2022/EHW/ESSC/05139,Pick-and-Place Assembly Operator,Electronics & HW,Level 4,https://www.nqr.gov.in/qualifications/2290
2291,2022/EHW/ESSC/05136,Electronics Manufacturing Services Technician,Electronics & HW,Level 4,https://www.nqr.gov.in/qualifications/2291
2292,2022/EHW/ESSC/05118,Solar Panel Installation Technician,Electronics & HW,Level 4,https://www.nqr.gov.in/qualifications/2292
2293,2022/EHW/ESSC/05138,Digital Cable Technician – Access,Electronics & HW,Level 4,https://www.nqr.gov.in/qualifications/2293
2297,2022/EHW/ESSC/05133,HVAC Technician,Electronics & HW,Level 4,https://www.nqr.gov.in/qualifications/2297
2299,2022/EHW/ESSC/05128,Through-hole Assembly Operator,Electronics & HW,Level 4,https://www.nqr.gov.in/qualifications/2299
2300,2022/EHW/ESSC/05129,Wireman Control Panel Electronics,Electronics & HW,Level 3,https://www.nqr.gov.in/qualifications/2300
2302,2021/ME/MESC/04873,AR/VR Developer,Media & Entertainment,Level 6,https://www.nqr.gov.in/qualifications/2302
2305,2022/HYC/HSSCI/05172,Retail Outlet Attendant (Oil & Gas),Hydrocarbon,Level 3,https://www.nqr.gov.in/qualifications/2305
2306,2022/HYC/HSSCI/05173,LPG Delivery Personnel,Hydrocarbon,Level 3,https://www.nqr.gov.in/qualifications/2306
2307,2022/HYC/HSSCI/05174,Tank Lorry Driver - Petroleum Products,Hydrocarbon,Level 4,https://www.nqr.gov.in/qualifications/2307
2308,2021/ME/MESC/04864,Assistant Costume Designer,Media & Entertainment,Level 3,https://www.nqr.gov.in/qualifications/2308
2309,2022/HYC/HSSCI/05175,LPG Mechanic,Hydrocarbon,Level 3,https://www.nqr.gov.in/qualifications/2309
2310,2021/ME/MESC/04868,Cinematographer,Media & Entertainment,Level 5,https://www.nqr.gov.in/qualifications/2310
2311,2021/ME/MESC/04865,Costume Designer,Media & Entertainment,Level 4,https://www.nqr.gov.in/qualifications/2311
2312,2022/HYC/HSSCI/05176,Industrial Electrician (Oil & Gas),Hydrocarbon,Level 4,https://www.nqr.gov.in/qualifications/2312
2313,2021/ME/MESC/04870,Event Planner/Event Manager,Media & Entertainment,Level 5,https://www.nqr.gov.in/qualifications/2313
2314,2021/ME/MESC/04871,Game Artist,Media & Entertainment,Level 5,https://www.nqr.gov.in/qualifications/2314
2315,2021/ME/MESC/04866,Offset Print Operator,Media & Entertainment,Level 4,https://www.nqr.gov.in/qualifications/2315
2317,2021/ME/MESC/04869,Project Manager (OOH) Media,Media & Entertainment,Level 5,https://www.nqr.gov.in/qualifications/2317
2318,2021/ME/MESC/04867,Still Photographer,Media & Entertainment,Level 4,https://www.nqr.gov.in/qualifications/2318
2319,2022/HYC/HSSCI/05178,Industrial Welder (Oil & Gas),Hydrocarbon,Level 4,https://www.nqr.gov.in/qualifications/2319
2320,2021/ME/MESC/04872,Technical Artist – AR/VR,Media & Entertainment,Level 5,https://www.nqr.gov.in/qualifications/2320
2391,2022/PWD/SCPWD/05262,Automotive Maintenance Technician-Mechanical -PwD SHI,Persons with Disability,Level 4,https://www.nqr.gov.in/qualifications/2391
2512,2022/PLUM/WMPS/05462,Plumbing Supervisor,Plumbing,Level 5,https://www.nqr.gov.in/qualifications/2512
2513,2022/PLUM/WMPS/05463,Storekeeper - Plumbing Projects,Plumbing,Level 4,https://www.nqr.gov.in/qualifications/2513
2514,2022/PLUM/WMPS/05464,Jal Mitra,Plumbing,Level 4,https://www.nqr.gov.in/qualifications/2514
2515,2022/PLUM/WMPS/05465,Water Pump Operator,Plumbing,Level 4,https://www.nqr.gov.in/qualifications/2515
2530,2022/ME/MESC/05190,ACCOUNT EXECUTIVE,Media & Entertainment,Level 4,https://www.nqr.gov.in/qualifications/2530
2531,2022/ME/MESC/05191,ADVERTISING OPERATIONS COORDINATOR,Media & Entertainment,Level 4,https://www.nqr.gov.in/qualifications/2531
2532,2022/ME/MESC/05193,Animation Director,Media & Entertainment,Level 6,https://www.nqr.gov.in/qualifications/2532
